line_no,row_kind,field_name,field_value
2,Data,BrokerName,Interactive Brokers LLC
3,Data,BrokerAddress,"Two Pickwick Plaza, Greenwich, CT 06830"
4,Data,Title,Activity Statement
5,Data,Period,"April 1, 2025 - March 3, 2026"
6,Data,WhenGenerated,"2026-03-04, 09:57:43 EST"
